ClientID,TransactionFreq,AvgTransactionValue_USD,ProductA_holding,ProductB_holding,ProductC_holding,ProductD_holding,ServiceUsage_score,ChurnRiskScore
500000,19.54,185.34,0,1,0,1,6.7,17.39
500001,25.25,491.72,1,0,0,0,7.04,22.28
500002,17.18,147.38,1,0,0,1,7.39,26.5
500003,4.88,158.48,1,1,0,0,5.76,10.56
500004,22.71,156.7,1,1,0,0,4.98,17.9
500005,13.39,164.21,1,1,1,0,8.36,9.86
500006,15.65,218.65,0,1,0,0,6.54,17.52
500007,10.63,108.81,1,1,0,1,8.21,0.0
500008,18.51,399.42,1,1,0,0,9.46,8.12
500009,25.46,203.16,1,0,0,1,7.44,8.26
500010,24.53,860.19,1,0,0,1,7.15,14.1
500011,29.1,115.37,0,1,0,0,10.0,21.46
500012,30.1,527.45,1,1,1,1,6.87,7.33
500013,3.68,472.89,0,1,0,0,4.54,36.08
500014,9.64,175.42,0,0,1,0,5.99,37.71
500015,5.34,177.03,1,1,0,0,9.29,9.53
500016,22.42,132.54,0,0,0,0,4.17,38.1
500017,13.15,133.38,1,0,0,0,5.15,25.76
500018,14.58,219.93,0,0,0,0,8.49,18.6
500019,16.48,222.52,0,1,0,0,6.01,22.84
500020,20.68,91.13,1,0,0,0,6.3,34.33
500021,7.6,776.7,0,0,1,1,8.43,21.68
500022,9.19,190.74,0,1,1,0,5.21,28.82
500023,18.01,228.08,0,0,0,0,3.86,36.08
500024,26.39,155.9,0,1,0,1,4.0,14.87
500025,17.82,189.95,1,0,0,0,7.55,10.64
500026,12.46,180.69,1,1,0,0,6.97,15.34
500027,2.96,219.65,0,0,0,0,5.25,33.29
500028,24.67,218.24,1,0,0,0,4.41,27.25
500029,12.85,342.51,0,0,1,0,6.01,26.31
500030,9.97,249.29,1,0,0,0,8.51,10.29
500031,5.99,324.08,1,0,0,0,5.0,48.86
500032,7.93,218.82,0,0,0,0,5.31,32.21
500033,11.27,249.84,0,1,0,0,4.36,26.95
500034,16.33,192.66,0,0,0,0,5.84,26.84
500035,9.54,381.97,0,1,0,0,7.11,20.65
500036,19.3,262.72,1,0,1,0,10.0,14.37
500037,16.27,201.68,1,1,0,0,6.89,7.44
500038,33.55,198.4,1,0,0,0,6.4,22.96
500039,6.07,207.17,1,0,0,0,8.05,14.35
500040,19.13,223.71,1,0,0,0,7.75,9.93
500041,19.22,213.28,0,0,0,0,5.46,30.26
500042,10.79,161.78,1,1,1,0,10.0,0.0
500043,18.67,335.06,1,0,0,0,6.46,0.0
500044,23.39,346.91,0,1,0,0,6.93,34.91
500045,18.68,586.84,1,1,0,1,7.49,0.0
500046,27.69,157.85,0,1,0,0,7.12,12.6
500047,2.76,317.4,1,0,0,0,9.25,9.3
500048,12.1,76.98,1,0,0,0,5.44,25.21
500049,28.33,347.1,0,0,0,0,7.91,8.88
500050,24.38,98.74,0,1,0,0,6.8,31.49
500051,21.78,128.03,0,1,0,0,8.27,19.21
500052,26.63,264.11,0,0,1,0,6.11,26.92
500053,4.58,156.3,0,0,0,0,5.87,34.55
500054,23.57,144.97,0,0,0,0,7.82,25.58
500055,25.45,168.51,1,0,0,0,7.14,3.28
500056,13.39,328.63,0,1,0,0,5.02,24.94
500057,36.4,131.7,1,1,0,0,8.92,5.88
500058,19.37,213.54,1,0,0,1,7.82,7.51
500059,2.65,178.64,1,0,0,0,6.37,16.6
500060,20.67,345.35,0,0,1,0,5.66,28.58
500061,12.96,350.72,1,0,0,1,7.16,7.28
500062,26.15,80.18,0,1,0,0,7.69,23.83
