ApplicantID,NumCreditCards,DebtToIncomeRatio,PreviousLoanDefaults
200000,0,0.303,1
200001,3,0.158,0
200002,5,0.444,2
200003,5,0.172,0
200004,4,0.019,1
200005,2,0.305,1
200006,1,0.211,0
200007,4,0.598,2
200008,4,0.124,1
200009,4,0.15,0
200010,2,0.572,0
200011,3,0.224,1
200012,2,0.333,0
200013,4,0.441,1
200014,2,0.144,0
200015,5,0.34,0
200016,8,0.217,1
200017,2,0.27,1
200018,4,0.401,0
200019,1,0.253,1
200020,3,0.364,0
200021,3,0.335,0
200022,3,0.268,0
200023,3,0.18,0
200024,4,0.295,1
200025,2,0.256,0
200026,2,0.241,0
200027,2,0.366,0
200028,3,0.35,0
200029,2,0.251,1
200030,1,0.148,1
200031,2,0.246,0
200032,3,0.454,1
200033,0,0.334,1
200034,4,0.453,1
200035,3,0.658,0
200036,4,0.263,0
200037,0,0.32,1
200038,1,0.214,0
200039,1,0.62,0
200040,2,0.678,0
200041,4,0.239,0
200042,6,0.161,0
200043,2,0.155,0
200044,3,0.32,1
200045,3,0.229,0
200046,4,0.355,0
200047,4,0.224,0
200048,4,0.249,0
200049,3,0.396,0
200050,0,0.382,0
200051,3,0.34,0
200052,6,0.589,0
200053,1,0.233,0
200054,4,0.259,0
200055,1,0.091,0
200056,3,0.286,0
200057,5,0.21,0
200058,1,0.121,0
200059,3,0.399,0
200060,2,0.326,1
200061,3,0.743,0
200062,3,0.557,0
200063,3,0.038,0
200064,0,0.367,1
200065,1,0.233,0
200066,3,0.052,1
200067,2,0.153,0
200068,4,0.231,0
200069,4,0.582,1
200070,4,0.221,0
200071,1,0.174,0
200072,1,0.052,0
200073,3,0.124,0
200074,2,0.231,0
200075,5,0.36,0
200076,5,0.085,0
200077,7,0.266,0
200078,2,0.393,0
200079,0,0.095,1
200080,5,0.357,1
200081,3,0.262,0
200082,1,0.225,0
200083,1,0.168,1
200084,1,0.171,0
200085,2,0.514,0
200086,2,0.313,1
200087,0,0.578,1
200088,3,0.332,0
200089,2,0.141,1
200090,2,0.44,0
200091,2,0.386,0
200092,1,0.542,0
200093,3,0.284,1
200094,2,0.527,2
200095,4,0.159,0
200096,3,0.131,0
200097,2,0.372,0
200098,1,0.179,0
200099,0,0.515,1
200100,0,0.093,0
200101,5,0.091,2
200102,5,0.201,0
200103,2,0.077,0
200104,4,0.288,0
200105,2,0.182,0
200106,2,0.078,0
200107,2,0.018,0
200108,1,0.172,0
200109,5,0.01,0
200110,5,0.146,0
200111,0,0.354,0
200112,4,0.361,0
200113,2,0.45,0
200114,3,0.24,1
200115,2,0.385,0
200116,2,0.086,0
200117,2,0.297,1
200118,6,0.367,0
200119,2,0.169,1
200120,1,0.394,0
200121,1,0.225,0
200122,4,0.244,2
200123,2,0.04,1
200124,1,0.397,0
200125,4,0.406,0
200126,0,0.216,0
200127,0,0.462,0
200128,1,0.136,0
200129,4,0.413,1
200130,4,0.175,0
200131,3,0.378,0
200132,0,0.138,0
200133,5,0.155,0
200134,3,0.069,0
200135,4,0.195,0
200136,3,0.586,0
200137,3,0.062,0
200138,5,0.052,1
200139,3,0.48,0
200140,3,0.453,0
200141,2,0.209,0
200142,5,0.054,0
200143,3,0.136,0
200144,2,0.176,0
200145,2,0.247,1
200146,1,0.25,0
200147,4,0.082,0
200148,2,0.463,0
200149,5,0.204,0
200150,2,0.157,1
200151,0,0.15,1
200152,7,0.065,3
200153,1,0.457,1
200154,4,0.088,0
200155,2,0.221,0
200156,2,0.42,0
200157,1,0.069,0
200158,2,0.231,0
200159,2,0.268,0
200160,1,0.219,0
200161,4,0.314,0
200162,2,0.136,1
200163,0,0.207,1
200164,2,0.354,0
200165,0,0.325,0
200166,6,0.21,0
200167,4,0.291,0
200168,1,0.105,0
200169,2,0.268,1
200170,5,0.241,1
200171,6,0.709,1
200172,5,0.079,1
200173,4,0.407,0
200174,2,0.352,0
200175,1,0.044,0
200176,3,0.255,0
200177,6,0.46,0
200178,0,0.281,0
200179,3,0.492,1
200180,5,0.349,0
200181,3,0.226,1
200182,3,0.021,1
200183,3,0.386,0
200184,2,0.357,0
200185,1,0.611,0
200186,2,0.505,0
200187,3,0.181,1
200188,2,0.389,1
200189,6,0.287,0
200190,4,0.166,2
200191,0,0.252,0
200192,0,0.314,0
200193,1,0.169,0
200194,7,0.376,1
200195,6,0.266,0
200196,0,0.51,0
200197,0,0.243,0
200198,1,0.085,0
200199,1,0.308,0
200200,3,0.362,0
200201,0,0.185,2
200202,0,0.287,0
200203,5,0.109,3
200204,3,0.204,0
200205,1,0.16,1
200206,1,0.238,0
200207,1,0.319,0
200208,1,0.589,0
200209,5,0.073,0
200210,4,0.638,0
200211,3,0.228,0
200212,2,0.152,0
200213,2,0.47,0
200214,2,0.52,1
200215,0,0.577,0
200216,1,0.572,0
200217,5,0.057,0
200218,2,0.327,0
200219,3,0.285,0
200220,5,0.441,1
200221,4,0.246,1
200222,1,0.337,0
200223,5,0.135,0
200224,2,0.425,0
200225,0,0.016,2
200226,2,0.177,0
200227,0,0.117,1
200228,1,0.304,0
200229,3,0.07,0
200230,6,0.098,0
200231,3,0.157,1
200232,0,0.356,1
200233,5,0.312,0
200234,4,0.288,0
200235,3,0.23,1
200236,2,0.524,1
200237,3,0.213,0
200238,5,0.469,1
200239,8,0.159,0
200240,2,0.329,1
200241,5,0.17,0
200242,1,0.445,1
200243,4,0.37,0
200244,0,0.487,1
200245,3,0.127,2
200246,3,0.184,2
200247,0,0.146,0
200248,2,0.064,0
200249,2,0.096,1
200250,2,0.263,1
200251,4,0.169,1
200252,3,0.26,2
200253,4,0.185,0
200254,2,0.157,0
200255,4,0.296,1
200256,3,0.154,0
200257,1,0.174,0
200258,1,0.078,0
200259,1,0.148,0
200260,0,0.334,1
200261,1,0.403,3
200262,2,0.343,0
200263,1,0.445,1
200264,4,0.044,1
200265,5,0.186,0
200266,5,0.108,2
200267,4,0.158,1
200268,3,0.031,0
200269,3,0.142,0
200270,1,0.225,0
200271,3,0.291,0
200272,2,0.348,0
200273,3,0.135,0
200274,4,0.47,0
200275,1,0.536,0
200276,4,0.587,0
200277,1,0.534,1
200278,2,0.238,0
200279,3,0.216,0
200280,5,0.086,3
200281,2,0.376,0
200282,2,0.263,1
200283,2,0.557,2
200284,2,0.147,0
200285,4,0.281,0
200286,0,0.21,0
200287,5,0.232,0
200288,2,0.585,1
200289,4,0.103,0
200290,2,0.193,1
200291,4,0.228,0
200292,2,0.302,0
200293,2,0.132,0
200294,0,0.357,1
200295,3,0.205,1
200296,2,0.431,0
200297,3,0.077,0
200298,3,0.023,0
200299,4,0.199,0
200300,4,0.286,0
200301,2,0.095,1
200302,2,0.399,1
200303,1,0.401,0
200304,2,0.105,1
200305,1,0.231,1
200306,1,0.108,0
200307,0,0.343,2
200308,4,0.066,0
200309,4,0.081,0
200310,3,0.115,2
200311,3,0.251,0
200312,2,0.108,0
200313,3,0.348,0
200314,2,0.354,0
200315,1,0.548,0
200316,3,0.185,0
200317,5,0.224,0
200318,2,0.498,0
200319,1,0.054,1
200320,2,0.144,0
200321,4,0.476,0
200322,3,0.284,2
200323,2,0.189,1
200324,6,0.082,0
200325,3,0.181,0
200326,2,0.098,0
200327,1,0.418,0
200328,3,0.261,0
200329,2,0.208,0
200330,2,0.305,0
200331,6,0.111,0
200332,2,0.281,0
200333,1,0.2,0
200334,4,0.378,0
200335,4,0.246,0
200336,2,0.288,0
200337,6,0.554,1
200338,2,0.016,0
200339,5,0.063,0
200340,0,0.116,0
200341,0,0.056,0
200342,2,0.143,0
200343,1,0.032,0
200344,3,0.114,1
200345,1,0.437,0
200346,1,0.105,0
200347,4,0.332,1
200348,3,0.508,1
200349,4,0.254,0
200350,1,0.062,0
200351,3,0.362,3
200352,3,0.096,1
200353,4,0.182,0
200354,3,0.537,0
200355,5,0.067,1
200356,1,0.317,0
200357,2,0.22,0
200358,0,0.235,0
200359,3,0.147,0
200360,3,0.471,1
200361,6,0.277,0
200362,4,0.393,0
200363,8,0.059,0
200364,5,0.011,0
200365,3,0.395,0
200366,4,0.266,0
200367,1,0.063,0
200368,0,0.35,1
200369,2,0.448,0
200370,5,0.178,1
200371,0,0.418,2
200372,4,0.449,0
200373,4,0.167,1
200374,0,0.458,0
200375,3,0.241,1
200376,2,0.416,1
200377,4,0.569,0
200378,5,0.104,0
200379,4,0.156,1
200380,3,0.603,1
200381,2,0.225,1
200382,7,0.298,1
200383,4,0.258,0
200384,0,0.115,1
200385,2,0.42,0
200386,2,0.318,1
200387,2,0.258,1
200388,2,0.083,1
200389,3,0.114,0
200390,3,0.195,1
200391,3,0.506,0
200392,0,0.539,0
200393,4,0.215,0
200394,1,0.06,1
200395,3,0.28,1
200396,2,0.228,0
200397,3,0.382,0
200398,4,0.435,0
200399,5,0.124,0
200400,3,0.072,0
200401,5,0.391,0
200402,2,0.331,1
200403,2,0.279,0
200404,2,0.047,0
200405,1,0.182,1
200406,4,0.129,0
200407,1,0.143,1
200408,3,0.127,0
200409,4,0.301,0
200410,2,0.044,1
200411,4,0.321,0
200412,2,0.13,1
200413,3,0.18,2
200414,3,0.473,0
200415,3,0.162,0
200416,4,0.183,1
200417,2,0.174,0
200418,2,0.52,2
200419,5,0.126,1
200420,3,0.279,2
200421,3,0.129,0
200422,2,0.117,1
200423,3,0.057,0
200424,4,0.15,0
200425,0,0.06,0
200426,1,0.147,0
200427,2,0.041,1
200428,3,0.274,1
200429,2,0.365,0
200430,2,0.245,0
200431,3,0.055,2
200432,1,0.217,1
200433,2,0.053,0
200434,3,0.093,1
200435,0,0.372,1
200436,1,0.134,1
200437,1,0.2,0
200438,5,0.525,0
200439,2,0.028,1
200440,2,0.444,0
200441,4,0.375,0
200442,1,0.486,0
200443,2,0.198,0
200444,3,0.53,1
200445,4,0.087,0
200446,4,0.366,0
200447,5,0.289,0
200448,5,0.01,0
200449,2,0.123,0
200450,1,0.306,0
200451,3,0.404,1
200452,2,0.703,1
200453,1,0.425,2
200454,2,0.232,0
200455,4,0.062,0
200456,4,0.037,1
200457,2,0.293,0
200458,3,0.238,0
200459,2,0.219,0
200460,3,0.406,0
200461,3,0.401,0
200462,0,0.031,1
200463,2,0.285,0
200464,0,0.363,0
200465,9,0.085,2
200466,6,0.018,1
200467,3,0.411,1
200468,1,0.421,0
200469,3,0.17,0
200470,2,0.121,0
200471,8,0.311,0
200472,1,0.195,0
200473,3,0.237,1
200474,2,0.039,0
200475,3,0.074,0
200476,5,0.256,0
200477,2,0.223,0
200478,3,0.439,0
200479,2,0.165,0
200480,4,0.056,1
200481,6,0.205,0
200482,4,0.318,1
200483,3,0.21,1
200484,3,0.608,0
200485,1,0.624,0
200486,3,0.497,0
200487,3,0.479,1
200488,3,0.463,0
200489,1,0.439,0
200490,1,0.134,1
200491,3,0.177,0
200492,1,0.296,1
200493,0,0.345,0
200494,2,0.442,0
200495,1,0.312,0
200496,3,0.211,1
200497,3,0.142,1
200498,0,0.27,0
200499,4,0.173,1
200500,3,0.151,0
200501,3,0.185,0
200502,4,0.114,0
200503,4,0.191,1
200504,5,0.29,0
200505,2,0.159,0
200506,2,0.546,0
200507,1,0.349,0
200508,3,0.375,1
200509,2,0.281,0
200510,6,0.088,0
200511,1,0.262,0
200512,3,0.462,0
200513,2,0.122,0
200514,3,0.081,0
200515,4,0.207,0
200516,4,0.147,1
200517,3,0.32,0
200518,3,0.215,0
200519,4,0.43,0
200520,4,0.037,0
200521,2,0.499,0
200522,3,0.191,0
200523,2,0.243,0
200524,6,0.281,0
200525,0,0.086,3
200526,4,0.299,1
200527,3,0.24,0
200528,2,0.303,2
200529,3,0.156,1
200530,3,0.127,0
200531,4,0.053,0
200532,4,0.21,0
200533,1,0.044,1
200534,1,0.831,0
200535,1,0.463,1
200536,4,0.166,3
200537,3,0.149,0
200538,1,0.286,1
200539,6,0.122,0
200540,3,0.581,0
200541,2,0.232,0
200542,4,0.247,0
200543,2,0.218,1
200544,1,0.2,0
200545,3,0.238,0
200546,2,0.153,1
200547,3,0.274,0
200548,0,0.6,0
200549,3,0.272,0
200550,2,0.408,0
200551,5,0.088,0
200552,0,0.345,0
200553,1,0.312,0
200554,4,0.486,0
200555,0,0.281,0
200556,1,0.143,1
200557,4,0.223,0
200558,2,0.381,0
200559,1,0.33,0
200560,3,0.488,0
200561,1,0.103,1
200562,2,0.136,0
200563,4,0.065,1
200564,1,0.216,2
200565,0,0.062,0
200566,4,0.166,0
200567,2,0.268,0
200568,2,0.15,0
200569,5,0.055,0
200570,2,0.188,0
200571,2,0.28,1
200572,5,0.138,0
200573,3,0.212,1
200574,1,0.127,0
200575,4,0.424,0
200576,4,0.286,1
200577,6,0.624,0
200578,4,0.422,1
200579,6,0.141,0
200580,1,0.122,0
200581,3,0.656,0
200582,4,0.245,0
200583,4,0.305,0
200584,0,0.46,0
200585,0,0.52,0
200586,7,0.198,2
200587,3,0.175,1
200588,1,0.38,0
200589,2,0.053,0
200590,2,0.249,1
200591,2,0.246,0
200592,2,0.394,0
200593,7,0.22,0
200594,3,0.297,0
200595,3,0.276,0
200596,1,0.136,0
200597,4,0.169,0
200598,3,0.306,0
200599,2,0.575,1
200600,4,0.222,1
200601,3,0.178,0
200602,2,0.326,1
200603,0,0.142,0
200604,3,0.305,0
200605,2,0.267,0
200606,4,0.412,0
200607,4,0.148,0
200608,1,0.218,0
200609,4,0.506,0
200610,5,0.544,0
200611,0,0.121,1
200612,3,0.316,0
200613,2,0.679,0
200614,1,0.53,0
200615,0,0.342,1
200616,3,0.247,0
200617,6,0.271,0
200618,3,0.034,0
200619,3,0.111,0
200620,2,0.418,1
200621,3,0.175,1
200622,7,0.201,0
200623,0,0.146,1
200624,2,0.089,1
200625,3,0.101,0
200626,2,0.273,0
200627,3,0.315,0
200628,0,0.085,1
200629,2,0.173,0
200630,4,0.172,1
200631,1,0.135,2
200632,4,0.219,0
200633,2,0.402,1
200634,2,0.298,0
200635,0,0.204,1
200636,1,0.262,1
200637,2,0.453,1
200638,4,0.276,0
200639,1,0.324,1
200640,4,0.166,0
200641,1,0.083,3
200642,1,0.024,0
200643,2,0.165,0
200644,1,0.266,0
200645,2,0.25,0
200646,2,0.062,0
200647,3,0.113,0
200648,3,0.341,0
200649,1,0.231,0
200650,2,0.33,0
200651,2,0.668,0
200652,2,0.246,2
200653,5,0.182,2
200654,2,0.237,0
200655,2,0.25,0
200656,3,0.306,0
200657,4,0.245,0
200658,2,0.592,0
200659,3,0.207,1
200660,0,0.691,0
200661,2,0.256,3
200662,1,0.116,1
200663,1,0.114,1
200664,2,0.321,0
200665,2,0.152,0
200666,0,0.425,0
200667,0,0.114,0
200668,2,0.068,0
200669,2,0.084,0
200670,0,0.458,0
200671,1,0.078,0
200672,1,0.39,1
200673,7,0.339,0
200674,1,0.47,0
200675,2,0.454,1
200676,3,0.166,0
200677,3,0.313,0
200678,3,0.352,3
200679,5,0.474,0
200680,3,0.041,0
200681,1,0.103,0
200682,1,0.158,0
200683,2,0.227,2
200684,2,0.546,0
200685,4,0.334,0
200686,2,0.211,0
200687,3,0.308,0
200688,4,0.338,0
200689,3,0.268,0
200690,6,0.397,0
200691,4,0.171,0
200692,1,0.41,1
200693,1,0.066,0
200694,1,0.175,0
200695,2,0.614,1
200696,10,0.427,1
200697,4,0.447,0
200698,5,0.345,0
200699,1,0.393,2
200700,1,0.469,1
200701,2,0.238,0
200702,3,0.159,0
200703,1,0.148,0
200704,2,0.387,0
200705,6,0.07,1
200706,2,0.35,1
200707,3,0.491,2
200708,1,0.144,0
200709,3,0.156,0
200710,1,0.335,2
200711,3,0.092,0
200712,1,0.277,0
200713,1,0.341,0
200714,3,0.231,1
200715,4,0.365,0
200716,2,0.466,1
200717,2,0.118,0
200718,4,0.38,0
200719,1,0.2,0
200720,2,0.299,3
200721,3,0.119,1
200722,4,0.294,1
200723,2,0.184,0
200724,3,0.291,0
200725,4,0.22,1
200726,1,0.289,0
200727,2,0.439,0
200728,4,0.438,1
200729,1,0.385,0
200730,4,0.246,1
200731,2,0.232,1
200732,1,0.049,1
200733,3,0.198,1
200734,2,0.416,2
200735,2,0.504,0
200736,5,0.415,0
200737,2,0.07,0
200738,3,0.096,0
200739,4,0.184,0
200740,2,0.612,0
200741,1,0.065,1
200742,0,0.347,0
200743,6,0.237,0
200744,4,0.274,0
200745,2,0.317,0
200746,1,0.097,1
200747,7,0.144,0
200748,1,0.307,0
200749,0,0.242,0
200750,2,0.388,1
200751,1,0.203,0
200752,5,0.591,0
200753,4,0.239,0
200754,7,0.399,0
200755,1,0.122,0
200756,4,0.161,1
200757,3,0.369,0
200758,1,0.228,1
200759,2,0.279,0
200760,0,0.761,1
200761,3,0.316,1
200762,1,0.226,0
200763,6,0.417,1
200764,5,0.331,0
200765,4,0.367,1
200766,1,0.203,1
200767,3,0.183,1
200768,2,0.084,1
200769,2,0.156,0
200770,1,0.288,1
