StudentID,LectureCompletionRate,QuizScore_avg,TimeSpent_hrs,CourseRating,FeedbackSentiment,SatisfactionStatus
100000,100.0,69.7,19.8,3,0.683,0
100001,66.2,69.5,17.0,4,0.901,1
100002,100.0,80.6,28.3,3,0.506,1
100003,88.6,62.3,9.8,3,0.233,1
100004,59.7,90.3,36.0,4,0.704,1
100005,68.6,79.1,14.5,3,0.733,1
100006,92.1,,30.1,3,0.542,0
100007,96.9,83.6,18.4,3,-0.405,0
100008,76.7,98.1,21.2,3,-0.129,0
100009,78.8,76.4,16.2,3,0.126,0
100010,91.7,72.4,22.5,3,0.601,1
100011,80.4,95.1,69.3,2,0.24,0
100012,54.7,87.5,52.6,4,0.762,1
100013,63.4,69.5,29.8,4,0.842,1
100014,82.2,74.1,24.2,4,0.79,1
100015,99.9,76.7,39.0,3,0.792,0
100016,100.0,79.1,45.7,3,-0.217,0
100017,92.0,55.0,15.5,4,0.467,0
100018,83.2,52.4,23.5,3,-0.023,0
100019,91.5,61.6,9.0,3,-0.492,0
100020,66.0,60.5,45.5,4,0.121,1
100021,75.2,65.0,76.4,3,0.846,0
100022,63.2,,25.6,4,0.457,1
100023,55.5,71.6,7.6,2,1.0,0
100024,84.0,76.7,34.3,3,0.33,1
100025,81.3,56.9,14.9,4,1.0,0
100026,90.4,67.5,17.0,3,0.33,0
100027,87.8,82.2,34.6,3,0.26,0
100028,82.4,82.3,28.2,2,-0.326,0
100029,88.0,63.9,18.8,4,0.75,1
100030,77.2,76.3,17.2,3,0.024,1
100031,85.4,100.0,26.3,3,-0.041,1
100032,64.9,73.8,19.6,2,0.827,0
100033,84.7,64.3,13.3,4,0.771,1
100034,90.0,71.6,20.4,4,0.759,1
100035,65.9,75.3,29.6,3,0.087,0
100036,78.9,71.9,22.2,2,0.227,0
100037,66.8,73.6,11.3,4,0.223,1
100038,68.5,53.8,42.3,3,0.602,0
100039,57.8,60.5,5.4,3,0.949,1
100040,100.0,71.9,19.2,2,0.416,0
100041,97.2,,17.4,3,1.0,1
100042,87.7,66.1,26.6,2,0.654,0
100043,100.0,71.5,33.4,3,0.144,1
100044,74.6,74.9,45.6,4,0.623,0
100045,100.0,86.5,16.6,3,1.0,0
100046,73.9,72.6,33.9,3,1.0,1
100047,82.6,79.6,27.3,3,0.784,1
100048,70.8,66.4,9.6,3,0.262,0
100049,84.7,82.0,69.8,4,0.152,0
100050,93.0,79.3,11.1,3,0.509,1
100051,75.9,86.1,30.9,3,1.0,1
100052,100.0,84.0,30.4,2,0.445,0
100053,82.3,82.2,28.5,4,0.455,1
100054,82.9,72.6,18.7,3,0.273,1
100055,61.6,77.4,38.7,4,0.102,0
100056,85.5,88.9,10.4,3,0.177,0
100057,75.6,64.9,23.7,3,0.311,1
100058,67.1,65.2,18.0,4,1.0,1
100059,64.0,76.5,16.9,3,0.142,0
100060,100.0,,31.1,4,0.274,1
100061,73.3,62.5,44.4,3,-0.139,0
100062,51.8,73.0,20.3,4,0.572,1
100063,65.4,72.7,37.7,3,0.865,0
100064,77.1,43.0,25.2,3,0.981,1
100065,87.8,70.9,15.0,3,0.342,0
100066,88.0,71.8,21.3,3,0.508,1
100067,90.2,71.8,20.8,3,0.181,1
100068,66.4,93.8,16.7,3,0.488,1
100069,84.1,57.0,31.1,3,0.391,1
100070,62.2,62.5,27.9,3,0.276,1
100071,66.8,37.4,10.2,3,0.312,0
100072,61.5,67.3,9.9,3,0.453,1
100073,56.6,68.5,31.0,3,0.118,1
100074,97.2,66.9,15.7,3,0.141,0
100075,90.4,89.5,29.0,3,1.0,1
100076,95.6,86.0,37.7,4,1.0,0
100077,78.7,75.1,12.2,4,-0.292,1
100078,92.0,68.8,11.3,3,-0.317,0
100079,46.3,88.4,61.6,4,-0.181,1
100080,93.5,73.7,29.8,2,0.204,1
100081,81.2,62.5,19.5,2,0.653,1
100082,89.3,50.0,14.7,3,0.516,1
100083,84.8,67.8,18.5,2,0.327,0
100084,60.2,84.6,12.7,3,0.488,1
100085,51.0,100.0,39.9,3,-0.061,0
100086,65.2,74.9,16.0,4,0.14,0
100087,88.2,63.3,44.8,2,0.241,0
100088,90.4,57.4,19.7,3,-0.463,1
100089,53.4,81.7,13.8,3,-0.273,0
100090,0.0,49.3,19.4,3,-0.255,0
100091,65.0,81.7,5.8,3,0.594,0
100092,71.6,85.4,23.0,4,0.36,1
100093,53.5,80.1,22.3,3,0.525,0
100094,52.4,70.9,38.6,4,-0.578,0
100095,63.2,81.9,8.7,3,-0.418,0
100096,79.6,,46.5,4,0.548,1
100097,56.7,63.1,38.5,3,-1.0,0
100098,75.9,99.9,48.8,3,0.801,1
