ProductID,AvgCustomerAge,AvgCustomerIncome,RegionPopularity
P000001,27.0,83203.0,52.3
P000002,39.8,56767.0,43.4
P000003,33.1,131716.0,48.9
P000004,22.9,61392.0,54.7
P000005,25.8,60620.0,40.8
P000006,26.3,62232.0,44.1
P000007,40.1,77000.0,50.1
P000008,38.1,38875.0,44.7
P000009,39.0,36184.0,51.7
P000010,34.1,43875.0,52.6
P000011,31.1,93339.0,36.9
P000012,28.9,76761.0,44.4
P000013,39.9,,47.8
P000014,32.6,71506.0,50.9
P000015,33.8,65184.0,43.9
P000016,24.1,53740.0,49.7
P000017,27.2,109431.0,42.8
P000018,26.0,47062.0,45.7
P000019,31.1,53656.0,57.4
P000020,40.5,49748.0,46.5
P000021,,104201.0,46.4
P000022,38.1,57480.0,42.3
P000023,35.8,75352.0,50.8
P000024,38.5,44378.0,56.7
P000025,44.4,71721.0,61.1
P000026,26.9,74781.0,51.4
P000027,34.1,67266.0,56.5
P000028,34.3,70346.0,35.1
P000029,28.3,,40.8
P000030,28.0,50285.0,51.3
P000031,26.8,57931.0,45.3
P000032,32.3,89353.0,51.5
P000033,39.9,42507.0,52.8
P000034,40.4,75088.0,53.4
P000035,29.2,37932.0,44.1
P000036,35.1,75370.0,59.8
P000037,24.2,58422.0,47.5
P000038,35.4,58414.0,44.4
P000039,41.9,115208.0,47.8
P000040,35.1,74751.0,29.6
P000041,34.6,78039.0,34.6
P000042,37.4,59472.0,34.6
P000043,27.7,51060.0,42.3
P000044,36.1,63964.0,33.3
P000045,27.6,52911.0,46.7
P000046,25.0,48761.0,44.4
P000047,32.2,58724.0,54.4
P000048,31.4,75515.0,48.8
P000049,42.6,,53.0
P000050,35.4,57879.0,39.3
P000051,29.7,48654.0,45.0
P000052,33.1,40251.0,50.2
P000053,27.7,62001.0,53.0
P000054,35.0,49648.0,43.2
P000055,36.5,,45.1
P000056,29.0,75222.0,41.8
P000057,36.6,88671.0,47.4
P000058,35.0,88469.0,57.9
P000059,28.9,60015.0,55.3
P000060,31.0,44552.0,43.3
P000061,37.0,52452.0,38.1
P000062,38.5,82201.0,56.9
P000063,27.4,56357.0,66.3
P000064,36.1,89343.0,53.8
P000065,32.4,88521.0,55.7
P000066,28.0,63425.0,46.6
P000067,37.6,59600.0,49.1
P000068,34.8,57928.0,43.7
P000069,33.0,57521.0,43.4
P000070,37.4,48061.0,46.2
P000071,36.6,62252.0,42.4
P000072,35.9,82423.0,26.8
P000073,28.9,90906.0,49.5
P000074,34.4,52188.0,40.2
P000075,33.1,41899.0,45.0
P000076,35.4,45027.0,40.9
P000077,32.6,67532.0,34.9
P000078,36.9,57357.0,55.4
P000079,29.4,54895.0,53.9
P000080,39.1,61453.0,43.0
P000081,31.1,33050.0,62.1
P000082,35.9,56706.0,47.0
P000083,33.1,,48.2
P000084,35.5,114375.0,38.2
P000085,34.0,94386.0,49.9
P000086,,49738.0,40.0
P000087,33.7,81606.0,52.2
P000088,30.4,62087.0,41.3
P000089,29.2,58996.0,48.7
P000090,40.2,,39.9
P000091,37.2,83379.0,30.4
P000092,28.6,,64.4
P000093,38.5,81634.0,46.4
P000094,32.5,67800.0,42.7
P000095,36.2,41138.0,46.3
P000096,28.9,55378.0,55.0
P000097,32.5,75179.0,46.9
P000098,36.0,64452.0,41.5
P000099,23.9,,43.2
P000100,28.5,57077.0,37.8
P000101,23.9,,42.1
P000102,30.6,71794.0,46.3
P000103,27.0,74979.0,54.1
P000104,32.1,82234.0,53.9
P000105,33.9,43053.0,43.0
P000106,29.0,54061.0,49.8
P000107,31.9,64938.0,45.5
P000108,34.4,61824.0,55.6
P000109,30.5,76423.0,53.9
P000110,24.5,41098.0,58.2
P000111,26.7,47139.0,36.4
P000112,25.9,63477.0,58.1
P000113,40.0,100402.0,44.7
P000114,35.6,51081.0,47.2
P000115,19.2,55900.0,54.5
P000116,41.7,52386.0,45.1
P000117,32.9,35659.0,42.0
P000118,30.7,51601.0,37.4
P000119,32.0,72516.0,44.7
P000120,37.2,80339.0,28.9
P000121,40.3,102867.0,50.5
P000122,30.3,,59.5
P000123,33.8,58108.0,49.1
P000124,30.3,72348.0,31.6
P000125,34.1,,34.8
P000126,38.2,89686.0,40.7
P000127,39.3,,50.8
P000128,36.0,104021.0,46.7
P000129,38.9,63986.0,36.2
P000130,34.3,74644.0,57.1
P000131,34.0,74784.0,35.8
P000132,28.5,46687.0,48.5
P000133,23.1,70008.0,35.8
P000134,36.3,59819.0,58.9
P000135,37.6,50665.0,35.2
P000136,32.2,48038.0,42.9
P000137,33.3,69264.0,38.1
P000138,34.1,52772.0,48.8
P000139,28.6,82475.0,46.1
P000140,34.2,,41.4
P000141,39.2,66345.0,37.3
P000142,28.6,72659.0,55.3
P000143,41.0,48082.0,33.7
P000144,32.4,62448.0,33.4
P000145,32.0,55436.0,45.5
P000146,30.5,68067.0,64.3
P000147,,63926.0,40.5
P000148,38.7,101119.0,49.8
P000149,41.5,41781.0,37.3
P000150,33.0,66611.0,31.7
P000151,20.7,51364.0,57.6
P000152,23.0,50600.0,35.6
P000153,39.4,35962.0,48.7
P000154,36.7,60032.0,40.9
P000155,31.5,57809.0,40.7
