StudentID,Age,Gender,ParentalEducation,StudyHours_per_week,Absences,PreviousGPA,FinalScore
S0001,18,Female,HighSchool,12.5,4,2.02,70.2
S0002,23,Female,University,16.8,3,3.76,80.5
S0003,22,Male,College,9.5,4,0.75,23.5
S0004,21,Female,HighSchool,11.1,7,1.17,13.3
S0005,21,Male,HighSchool,0.0,4,0.94,27.7
S0006,24,Female,HighSchool,12.1,3,3.09,76.3
S0007,18,Male,University,2.7,3,2.27,50.8
S0008,22,Female,College,13.7,5,3.19,82.9
S0009,19,Female,College,9.7,3,2.18,59.9
S0010,18,Female,College,15.0,3,2.58,64.8
S0011,21,Male,College,18.8,9,3.41,74.5
S0012,24,Female,HighSchool,12.1,7,2.36,68.8
S0013,23,Male,University,11.6,1,3.22,77.8
S0014,23,Male,HighSchool,13.1,4,2.62,57.9
S0015,23,Female,College,9.9,3,2.72,53.5
S0016,23,Male,College,12.3,4,2.65,64.8
S0017,21,Female,College,18.5,1,3.65,95.3
S0018,18,Female,University,11.8,5,2.85,84.9
S0019,23,Male,HighSchool,11.8,6,1.66,44.1
S0020,21,Female,College,10.9,6,1.29,30.2
S0021,21,Male,HighSchool,8.2,5,2.47,52.4
S0022,20,Female,College,19.2,2,3.78,97.6
S0023,19,Male,HighSchool,12.5,7,1.54,30.4
S0024,24,Female,HighSchool,7.8,3,1.54,45.2
S0025,23,Male,HighSchool,7.4,4,2.2,62.6
S0026,22,Male,HighSchool,8.6,4,2.47,69.0
S0027,20,Male,HighSchool,11.9,7,3.41,74.6
S0028,23,Female,College,15.7,5,3.01,77.1
S0029,21,Female,College,6.5,3,1.73,53.4
S0030,21,Female,HighSchool,11.4,5,2.2,48.2
S0031,21,Female,HighSchool,4.8,5,1.74,61.8
S0032,19,Female,HighSchool,9.4,3,2.1,55.7
S0033,18,Female,College,10.5,2,2.15,62.9
S0034,21,Male,HighSchool,27.3,2,4.0,84.6
S0035,24,Female,HighSchool,7.7,6,2.93,79.6
S0036,18,Female,HighSchool,20.6,2,3.58,100.0
S0037,24,Male,College,10.9,4,2.24,55.7
S0038,23,Male,HighSchool,14.8,3,3.09,83.1
S0039,19,Female,College,13.9,9,3.29,72.3
S0040,22,Male,College,15.1,3,3.18,72.8
S0041,19,Female,College,13.7,4,2.85,78.6
S0042,23,Male,College,20.5,4,3.74,84.8
S0043,22,Male,College,11.2,6,3.32,67.4
S0044,20,Female,HighSchool,17.9,4,3.69,93.2
S0045,18,Male,College,9.5,1,3.25,86.4
S0046,24,Male,College,8.1,7,1.01,29.5
S0047,21,Female,HighSchool,5.8,4,2.27,51.3
S0048,24,Female,College,13.2,4,2.28,57.1
S0049,22,Male,HighSchool,15.7,6,2.09,60.8
S0050,23,Male,College,15.0,2,3.53,78.6
S0051,23,Female,College,14.5,3,3.61,87.1
S0052,19,Female,University,10.1,3,3.14,82.3
S0053,20,Female,University,12.4,5,3.04,70.3
S0054,21,Male,College,6.7,6,2.98,75.6
S0055,21,Male,College,7.5,2,2.48,59.9
S0056,18,Male,College,13.5,6,2.42,59.7
S0057,21,Male,HighSchool,15.4,4,2.15,47.5
S0058,19,Female,University,27.8,3,4.0,100.0
S0059,23,Male,College,9.2,6,2.55,56.7
S0060,22,Female,HighSchool,15.6,3,2.49,65.8
S0061,24,Female,HighSchool,12.1,6,2.63,61.6
S0062,23,Female,University,12.1,6,2.38,52.3
S0063,20,Male,HighSchool,16.8,4,3.09,76.3
S0064,24,Female,HighSchool,13.1,6,2.47,77.9
S0065,20,Female,HighSchool,11.6,9,2.53,57.3
S0066,20,Female,HighSchool,9.5,7,2.14,46.4
S0067,24,Male,HighSchool,4.1,5,1.64,45.3
S0068,20,Male,College,3.9,4,2.31,52.9
S0069,18,Female,HighSchool,12.1,2,2.4,88.6
S0070,21,Male,University,11.3,4,2.6,67.0
S0071,23,Male,University,8.5,7,1.82,44.8
S0072,19,Male,HighSchool,8.5,5,1.51,54.0
S0073,21,Female,HighSchool,16.0,5,3.07,56.8
S0074,18,Female,College,13.7,6,3.26,74.1
S0075,22,Male,HighSchool,4.1,2,1.2,56.0
S0076,21,Female,HighSchool,16.9,1,3.19,80.6
S0077,20,Male,University,22.9,2,4.0,84.7
S0078,19,Female,University,17.6,8,3.16,72.5
S0079,21,Female,College,18.9,2,4.0,100.0
S0080,22,Male,HighSchool,17.3,3,2.93,76.1
S0081,24,Male,College,16.0,6,1.8,45.0
S0082,21,Male,College,12.9,6,1.53,40.9
S0083,19,Female,HighSchool,14.7,5,2.57,60.1
S0084,23,Female,College,15.4,3,3.3,80.6
S0085,22,Female,HighSchool,8.1,1,3.04,89.3
S0086,22,Female,HighSchool,16.7,5,3.41,88.6
S0087,18,Male,College,5.0,8,2.27,51.2
S0088,20,Female,HighSchool,4.5,7,0.78,15.8
S0089,23,Male,HighSchool,16.9,2,2.84,63.0
S0090,23,Male,University,17.6,3,3.42,84.9
S0091,21,Female,University,20.0,3,3.14,72.1
S0092,23,Female,College,9.5,5,2.11,50.6
S0093,23,Male,University,7.7,7,1.93,53.1
S0094,20,Female,University,10.8,8,2.48,43.7
S0095,24,Female,HighSchool,10.3,8,1.64,35.1
S0096,20,Female,HighSchool,12.0,5,3.11,70.0
S0097,19,Female,HighSchool,15.9,3,2.66,73.4
S0098,22,Male,HighSchool,9.7,4,2.69,75.1
S0099,22,Male,College,14.3,1,3.14,83.9
S0100,18,Male,HighSchool,3.8,4,1.26,37.6
S0101,23,Female,College,13.3,2,2.49,58.9
S0102,19,Female,HighSchool,13.9,3,3.46,71.4
S0103,23,Male,HighSchool,4.9,4,1.43,33.7
S0104,18,Male,University,7.6,4,1.11,39.3
S0105,23,Male,HighSchool,6.4,8,0.85,26.2
S0106,23,Female,HighSchool,9.7,1,2.36,46.5
S0107,23,Female,HighSchool,19.9,1,3.9,84.6
S0108,22,Male,College,11.3,6,2.39,70.0
S0109,21,Male,College,13.2,3,3.8,91.7
S0110,22,Female,College,0.0,6,0.18,1.1
S0111,19,Male,HighSchool,7.3,4,2.39,81.1
S0112,23,Female,HighSchool,12.8,5,2.95,72.5
S0113,21,Male,University,7.3,7,1.49,45.0
S0114,21,Male,College,18.1,8,2.76,64.4
S0115,21,Female,College,9.7,6,2.36,52.3
S0116,21,Male,College,16.7,7,2.45,52.0
S0117,18,Male,College,11.7,3,2.87,83.3
S0118,18,Male,HighSchool,14.0,5,3.48,87.3
S0119,19,Male,HighSchool,14.2,4,4.0,97.1
S0120,18,Male,College,11.3,3,2.48,67.0
S0121,21,Male,HighSchool,23.4,2,4.0,93.3
S0122,22,Male,University,1.5,4,1.77,56.7
S0123,22,Male,College,5.5,1,3.0,70.7
S0124,21,Female,College,9.1,3,2.13,59.5
S0125,23,Female,University,13.3,4,3.48,65.8
S0126,21,Male,College,16.2,2,3.49,65.3
S0127,18,Male,University,21.7,3,4.0,100.0
S0128,23,Female,College,11.8,2,3.49,78.0
S0129,22,Female,University,16.7,7,2.73,52.6
S0130,22,Female,HighSchool,18.1,3,4.0,94.6
S0131,21,Male,College,12.2,2,2.22,81.9
S0132,21,Male,College,15.8,5,2.59,77.7
S0133,18,Male,HighSchool,14.2,2,3.13,81.4
S0134,21,Male,HighSchool,8.3,4,1.72,48.6
S0135,23,Female,University,17.0,5,3.47,87.8
S0136,20,Male,College,12.6,5,2.58,71.5
S0137,22,Male,HighSchool,11.7,1,3.01,70.8
S0138,18,Male,HighSchool,19.2,4,3.88,89.5
S0139,20,Female,HighSchool,0.0,7,0.3,19.4
S0140,21,Male,HighSchool,5.2,2,2.31,64.5
S0141,24,Female,University,5.1,3,1.77,44.9
S0142,19,Male,HighSchool,6.3,8,1.33,28.8
S0143,19,Female,HighSchool,9.6,4,2.14,69.4
S0144,20,Male,College,4.6,2,2.06,66.5
S0145,24,Female,HighSchool,4.7,2,1.95,53.2
S0146,23,Female,HighSchool,8.4,1,2.9,88.8
S0147,18,Female,College,21.6,4,2.24,61.9
S0148,19,Female,College,20.2,1,2.98,92.2
S0149,23,Female,University,9.8,6,2.5,60.1
S0150,18,Female,College,10.1,9,2.27,75.8
S0151,23,Female,College,6.8,4,2.18,49.9
S0152,19,Male,College,0.4,6,1.06,25.2
S0153,24,Female,University,13.9,1,3.41,90.9
S0154,20,Female,College,7.1,4,2.48,64.6
S0155,21,Female,University,8.8,5,1.12,49.6
S0156,22,Male,College,0.1,6,0.39,11.5
S0157,18,Male,University,9.2,6,2.44,64.6
S0158,21,Female,HighSchool,11.3,4,2.31,68.7
S0159,21,Male,College,13.6,5,2.81,74.6
S0160,23,Male,HighSchool,13.0,3,2.32,53.9
S0161,24,Male,College,5.8,6,2.24,65.1
S0162,22,Male,College,18.2,1,4.0,100.0
S0163,20,Male,University,6.8,6,1.75,46.9
S0164,20,Male,University,13.8,6,2.19,56.8
S0165,20,Male,HighSchool,8.8,4,1.67,50.6
S0166,23,Male,College,5.7,5,2.02,51.0
S0167,20,Male,College,12.9,3,3.39,85.6
S0168,19,Female,HighSchool,12.0,2,2.72,66.3
S0169,20,Male,HighSchool,9.1,4,0.98,28.5
S0170,18,Female,HighSchool,6.9,6,0.9,22.6
S0171,18,Female,College,18.0,5,2.53,59.7
S0172,18,Male,College,15.9,5,2.68,67.0
S0173,23,Male,University,10.9,9,2.03,46.2
S0174,23,Female,College,15.8,5,3.04,76.9
S0175,22,Female,University,22.0,3,3.56,88.0
S0176,21,Female,HighSchool,22.9,5,4.0,89.9
S0177,23,Female,College,4.5,3,2.13,63.1
S0178,19,Female,HighSchool,4.6,2,1.85,47.9
S0179,24,Female,College,20.4,6,3.21,77.9
S0180,21,Male,University,4.6,6,1.02,36.5
S0181,24,Female,University,7.2,2,2.63,51.2
S0182,19,Male,University,10.8,4,2.56,58.3
S0183,21,Female,HighSchool,12.8,2,2.33,68.2
S0184,22,Female,HighSchool,13.7,3,3.38,67.6
S0185,21,Male,HighSchool,6.5,5,1.57,54.8
S0186,21,Female,HighSchool,11.7,5,3.28,88.5
S0187,19,Male,College,8.0,2,2.26,56.6
S0188,20,Female,College,5.0,5,1.69,45.6
S0189,19,Male,College,23.5,1,3.84,100.0
S0190,20,Female,University,12.3,6,2.71,56.3
S0191,22,Male,College,14.9,3,2.61,72.6
S0192,22,Female,University,11.3,5,2.73,61.2
S0193,22,Female,HighSchool,11.2,4,2.71,60.1
S0194,20,Female,HighSchool,6.2,3,1.85,42.7
S0195,24,Female,College,0.7,4,2.35,56.8
S0196,18,Female,University,8.4,1,3.71,92.6
S0197,20,Female,HighSchool,4.8,1,2.61,66.9
S0198,18,Male,College,1.8,3,2.37,46.0
S0199,20,Female,College,8.8,3,3.18,66.8
S0200,24,Male,HighSchool,13.9,4,1.32,46.1
S0201,20,Female,HighSchool,10.1,8,2.15,64.0
S0202,24,Male,University,17.7,7,2.88,66.8
S0203,21,Female,College,14.3,2,2.8,71.8
S0204,22,Female,HighSchool,13.8,4,2.35,67.3
S0205,21,Male,University,8.2,7,1.72,44.2
S0206,19,Female,HighSchool,17.4,6,3.44,79.3
S0207,23,Female,University,16.3,4,3.24,69.2
S0208,24,Female,HighSchool,8.9,2,2.47,76.6
S0209,19,Male,College,14.3,9,2.14,33.0
S0210,23,Female,HighSchool,14.0,2,2.87,81.4
S0211,19,Female,HighSchool,8.3,4,2.07,49.1
S0212,23,Male,University,8.3,8,2.29,48.6
S0213,23,Male,HighSchool,7.4,1,3.08,89.5
S0214,21,Male,HighSchool,14.7,2,3.37,77.9
S0215,23,Female,HighSchool,13.3,3,2.59,63.3
S0216,19,Male,College,9.2,5,2.7,65.6
S0217,18,Female,University,10.8,5,2.23,57.2
S0218,18,Female,University,15.7,5,3.22,70.4
S0219,21,Male,HighSchool,16.0,4,3.12,62.4
S0220,24,Female,HighSchool,20.5,6,3.73,75.7
S0221,18,Female,HighSchool,17.8,2,2.99,85.8
S0222,21,Male,College,8.8,3,3.35,79.6
S0223,22,Male,University,22.4,5,3.45,87.7
S0224,19,Male,College,11.7,7,3.38,71.5
S0225,23,Male,College,17.8,4,3.09,71.4
S0226,20,Male,HighSchool,10.6,5,2.66,71.1
S0227,23,Female,University,11.6,3,3.06,69.3
S0228,22,Male,College,0.0,7,0.0,4.9
S0229,21,Male,HighSchool,10.9,2,2.59,78.2
S0230,19,Female,HighSchool,0.0,6,0.0,0.0
S0231,21,Female,HighSchool,12.4,3,1.99,50.8
S0232,23,Female,HighSchool,19.5,7,3.13,74.6
S0233,18,Female,HighSchool,8.0,2,2.55,63.9
S0234,23,Male,College,11.2,2,2.31,62.4
S0235,21,Male,College,6.9,4,1.92,69.7
S0236,23,Female,HighSchool,10.6,4,2.75,72.8
S0237,22,Female,HighSchool,13.9,5,2.15,39.3
S0238,21,Female,University,17.3,3,4.0,98.1
S0239,20,Male,College,20.7,4,3.65,84.4
S0240,22,Female,College,10.4,6,3.01,68.2
S0241,18,Female,HighSchool,19.2,8,3.84,88.8
S0242,22,Male,University,13.7,4,3.0,70.4
S0243,18,Female,HighSchool,13.0,6,2.14,51.8
S0244,22,Female,HighSchool,8.5,6,1.88,56.7
S0245,22,Male,University,12.7,12,2.24,46.5
S0246,18,Male,College,8.7,4,1.5,36.7
S0247,23,Female,College,7.3,4,1.83,76.9
S0248,20,Male,College,13.8,7,2.33,50.4
S0249,23,Male,College,17.1,6,3.45,81.7
S0250,18,Male,HighSchool,14.0,5,2.79,55.9
S0251,19,Male,HighSchool,18.1,8,2.74,63.2
